time;Tair_hi
0;30
3600;30
7200;30
10800;30
14400;30
18000;30
21600;30
25200;30
28800;24
32400;24
36000;24
39600;24
43200;24
46800;24
50400;24
54000;24
57600;24
61200;30
64800;30
68400;30
72000;30
75600;30
79200;30
82800;30
86400;30
90000;30
93600;30
97200;30
100800;30
104400;30
108000;30
111600;30
115200;24
118800;24
122400;24
126000;24
129600;24
133200;24
136800;24
140400;24
144000;24
147600;30
151200;30
154800;30
158400;30
162000;30
165600;30
169200;30
172800;30
176400;30
180000;30
183600;30
187200;30
190800;30
194400;30
198000;30
201600;24
205200;24
208800;24
212400;24
216000;24
219600;24
223200;24
226800;24
230400;24
234000;30
237600;30
241200;30
244800;30
248400;30
252000;30
255600;30
259200;30
